ds,city,PM2_5,PM10,AQI,n_stations,temp_c,humidity_pct,wind_speed_ms,wind_dir_deg,pressure_hpa,dust_risk_score,weather_desc,PM2_5_lag1h,PM10_lag1h,PM2_5_roll3h,PM2_5_roll24h,PM2_5_delta,alert_pm25,alert_pm10,alert
2026-05-10 23:00:00+00:00,Delhi,77.1,157.2,154.1,3,20.1,58.8,0.5,87,1007.2975891291525,0.619,clear sky,,,77.1,,,RED,RED,RED
2026-05-11 00:00:00+00:00,Delhi,67.9,123.8,135.8,3,19.6,60.7,0.5,276,1008.3539838370305,0.613,clear sky,77.1,157.2,72.5,,-9.199999999999989,RED,RED,RED
2026-05-11 01:00:00+00:00,Delhi,130.0,235.1,259.9,3,21.8,52.2,0.5,187,1009.8103236751144,0.642,haze,67.9,123.8,91.66666666666667,91.66666666666667,62.099999999999994,RED,RED,RED
2026-05-11 02:00:00+00:00,Delhi,77.1,144.8,154.1,3,18.9,65.7,0.5,306,1009.1826990656388,0.595,clear sky,130.0,235.1,91.66666666666667,88.025,-52.900000000000006,RED,RED,RED
2026-05-11 03:00:00+00:00,Delhi,123.7,269.3,247.5,3,24.3,49.5,0.5,339,1011.3582708346855,0.652,haze,77.1,144.8,110.26666666666667,95.16,46.60000000000001,RED,RED,RED
2026-05-11 04:00:00+00:00,Delhi,99.9,213.1,199.8,3,22.9,51.3,0.5,1,1004.5236892742248,0.645,haze,123.7,269.3,100.23333333333333,95.95,-23.799999999999997,RED,RED,RED
2026-05-11 05:00:00+00:00,Delhi,88.5,160.3,176.9,3,25.6,48.4,1.26,269,1011.6026783158486,0.622,haze,99.9,213.1,104.03333333333335,94.88571428571429,-11.400000000000006,RED,RED,RED
2026-05-11 06:00:00+00:00,Delhi,97.7,196.3,195.5,3,29.2,45.8,2.21,216,1012.9253133480422,0.611,haze,88.5,160.3,95.36666666666667,95.2375,9.200000000000003,RED,RED,RED
2026-05-11 07:00:00+00:00,Delhi,112.6,238.8,225.2,3,28.3,39.1,0.5,138,1009.8350288665226,0.713,haze,97.7,196.3,99.59999999999998,97.16666666666667,14.899999999999991,RED,RED,RED
2026-05-11 08:00:00+00:00,Delhi,118.8,242.5,237.5,3,31.1,38.1,6.16,200,1009.7911339385372,0.454,haze,112.6,238.8,109.69999999999999,99.33,6.200000000000003,RED,RED,RED
2026-05-11 09:00:00+00:00,Delhi,104.1,200.4,208.3,3,34.8,37.9,2.54,34,1005.3053761816329,0.664,haze,118.8,242.5,111.83333333333333,99.76363636363637,-14.700000000000003,RED,RED,RED
2026-05-11 10:00:00+00:00,Delhi,109.0,229.4,218.0,3,34.9,36.5,1.7,206,1009.01454375598,0.711,haze,104.1,200.4,110.63333333333333,100.53333333333335,4.900000000000006,RED,RED,RED
2026-05-11 11:00:00+00:00,Delhi,113.7,206.1,227.4,3,35.7,26.3,1.78,221,1011.1274748520183,0.749,haze,109.0,229.4,108.93333333333332,101.54615384615384,4.700000000000003,RED,RED,RED
2026-05-11 12:00:00+00:00,Delhi,117.4,220.8,234.8,3,35.0,30.4,2.97,283,1009.8242689860028,0.67,haze,113.7,206.1,113.36666666666667,102.67857142857143,3.700000000000003,RED,RED,RED
2026-05-11 13:00:00+00:00,Delhi,119.1,223.2,238.1,3,36.1,30.8,4.12,347,1010.9059349715986,0.619,haze,117.4,220.8,116.73333333333335,103.77333333333333,1.6999999999999886,RED,RED,RED
2026-05-11 14:00:00+00:00,Delhi,113.1,232.9,226.2,3,34.7,29.4,1.91,317,1006.4800703411054,0.724,haze,119.1,223.2,116.53333333333335,104.35625,-6.0,RED,RED,RED
2026-05-11 15:00:00+00:00,Delhi,98.9,215.3,197.8,3,33.4,35.0,3.04,112,1001.9330552004128,0.638,haze,113.1,232.9,110.36666666666667,104.03529411764706,-14.199999999999989,RED,RED,RED
2026-05-11 16:00:00+00:00,Delhi,96.2,200.0,192.4,3,32.0,35.2,15.23,186,1009.3722469461575,0.279,haze,98.9,215.3,102.73333333333333,103.6,-2.700000000000003,RED,RED,RED
2026-05-11 17:00:00+00:00,Delhi,91.0,173.9,182.0,3,32.5,40.5,0.5,171,1008.9046420270008,0.74,haze,96.2,200.0,95.36666666666667,102.93684210526315,-5.200000000000003,RED,RED,RED
2026-05-11 18:00:00+00:00,Delhi,100.7,184.6,201.4,3,26.1,41.0,4.06,324,1005.9952599026028,0.511,haze,91.0,173.9,95.96666666666665,102.825,9.700000000000003,RED,RED,RED
2026-05-11 19:00:00+00:00,Delhi,91.4,167.8,182.8,3,27.3,47.4,0.52,348,1010.7694878250259,0.676,haze,100.7,184.6,94.36666666666667,102.28095238095239,-9.299999999999997,RED,RED,RED
2026-05-11 20:00:00+00:00,Delhi,73.0,152.2,146.0,3,24.9,50.9,0.5,127,1011.2895865694846,0.647,clear sky,91.4,167.8,88.36666666666667,100.95,-18.400000000000006,RED,RED,RED
2026-05-11 21:00:00+00:00,Delhi,83.8,175.4,167.6,3,22.4,56.2,2.98,262,1003.6695499449113,0.504,haze,73.0,152.2,82.73333333333333,100.20434782608694,10.799999999999997,RED,RED,RED
2026-05-11 22:00:00+00:00,Delhi,81.0,163.0,162.1,3,21.6,57.0,5.69,36,1007.3823998487135,0.366,haze,83.8,175.4,79.26666666666667,99.40416666666665,-2.799999999999997,RED,RED,RED
2026-05-11 23:00:00+00:00,Delhi,71.9,149.6,143.8,3,20.5,59.8,1.3,160,1008.3172909410832,0.576,clear sky,81.0,163.0,78.89999999999999,99.1875,-9.099999999999994,RED,RED,RED
2026-05-12 00:00:00+00:00,Delhi,69.6,150.2,139.1,3,20.2,60.9,0.5,337,1005.8569457459209,0.612,clear sky,71.9,149.6,74.16666666666667,99.25833333333333,-2.3000000000000114,RED,RED,RED
2026-05-12 01:00:00+00:00,Delhi,55.2,103.3,110.5,3,19.5,59.5,0.5,134,1006.8500300812022,0.617,clear sky,69.6,150.2,65.56666666666666,96.14166666666667,-14.399999999999991,AMBER,RED,RED
2026-05-12 02:00:00+00:00,Delhi,75.0,150.3,150.0,3,22.2,54.0,2.23,229,1010.1611617261146,0.549,clear sky,55.2,103.3,66.60000000000001,96.05416666666667,19.799999999999997,RED,RED,RED
2026-05-12 03:00:00+00:00,Delhi,95.0,201.1,189.9,3,22.1,63.8,1.7,316,1008.2812962904559,0.542,haze,75.0,150.3,75.06666666666666,94.85833333333333,20.0,RED,RED,RED
2026-05-12 04:00:00+00:00,Delhi,115.9,210.7,231.9,3,24.0,52.5,0.82,5,1008.5717961153435,0.625,haze,95.0,201.1,95.30000000000001,95.52500000000002,20.900000000000006,RED,RED,RED
