ds,city,PM2_5,PM10,AQI,n_stations,temp_c,humidity_pct,wind_speed_ms,wind_dir_deg,pressure_hpa,dust_risk_score,weather_desc,PM2_5_lag1h,PM10_lag1h,PM2_5_roll3h,PM2_5_roll24h,PM2_5_delta,alert_pm25,alert_pm10,alert
2026-05-11 21:00:00+00:00,Delhi,77.8,158.6,155.5,3,22.2,54.9,0.5,87,1007.2975891291525,0.633,clear sky,,,77.8,,,RED,RED,RED
2026-05-11 22:00:00+00:00,Delhi,65.6,119.6,131.2,3,20.7,58.7,0.5,276,1008.3539838370305,0.62,clear sky,77.8,158.6,71.69999999999999,,-12.200000000000003,RED,RED,RED
2026-05-11 23:00:00+00:00,Delhi,124.8,225.8,249.6,3,21.8,52.2,0.5,187,1009.8103236751144,0.642,haze,65.6,119.6,89.39999999999999,89.39999999999999,59.2,RED,RED,RED
2026-05-12 00:00:00+00:00,Delhi,69.4,130.4,138.7,3,17.9,67.7,0.5,306,1009.1826990656388,0.588,clear sky,124.8,225.8,86.59999999999998,84.4,-55.39999999999999,RED,RED,RED
2026-05-12 01:00:00+00:00,Delhi,114.1,248.3,228.1,3,22.2,53.4,0.5,339,1011.3582708346855,0.638,haze,69.4,130.4,102.76666666666667,90.34,44.69999999999999,RED,RED,RED
2026-05-12 02:00:00+00:00,Delhi,88.9,189.7,177.8,3,20.0,56.8,0.5,1,1004.5236892742248,0.626,haze,114.1,248.3,90.8,90.10000000000001,-25.19999999999999,RED,RED,RED
2026-05-12 03:00:00+00:00,Delhi,76.9,139.4,153.8,3,22.0,55.1,1.26,269,1011.6026783158486,0.594,clear sky,88.9,189.7,93.3,88.21428571428571,-12.0,RED,RED,RED
2026-05-12 04:00:00+00:00,Delhi,86.4,173.5,172.8,3,25.2,53.3,2.21,216,1012.9253133480422,0.554,haze,76.9,139.4,84.06666666666668,87.9875,9.5,RED,RED,RED
2026-05-12 05:00:00+00:00,Delhi,102.2,216.8,204.5,3,24.2,46.9,0.5,138,1009.8350288665226,0.661,haze,86.4,173.5,88.5,89.56666666666666,15.799999999999997,RED,RED,RED
2026-05-12 06:00:00+00:00,Delhi,110.1,224.8,220.2,3,27.1,45.6,6.16,200,1009.7911339385372,0.398,haze,102.2,216.8,99.56666666666666,91.62,7.8999999999999915,RED,RED,RED
2026-05-12 07:00:00+00:00,Delhi,97.8,188.1,195.5,3,31.2,44.7,2.54,34,1005.3053761816329,0.613,haze,110.1,224.8,103.36666666666667,92.18181818181819,-12.299999999999997,RED,RED,RED
2026-05-12 08:00:00+00:00,Delhi,105.4,221.7,210.7,3,31.9,42.0,1.7,206,1009.01454375598,0.67,haze,97.8,188.1,104.43333333333334,93.28333333333335,7.6000000000000085,RED,RED,RED
2026-05-12 09:00:00+00:00,Delhi,113.0,204.9,226.0,3,33.6,30.1,1.78,221,1011.1274748520183,0.72,haze,105.4,221.7,105.39999999999999,94.80000000000001,7.599999999999994,RED,RED,RED
